ZIP,Borough,Neighborhood,Year,Total Adjusted Gross Income (IRS),Number of Returns (IRS),AGI,AGI_num,Median HH Income ($),Mean HH Income ($),Median Home Value ($/sq. foot),% Employed,% Unemployed,% Not in Labor Force,Bordering Water,Number of Subway Stations in ZIP,Stops in ZIP,Number of Subway Lines Serving ZIP,Lines Serving ZIP,Number of Parks,Number of Playgrounds,Park Acreage,LandSqMile,Latitude,Longitude,adjacentZIP,Price_Index,Color,Probability,IncomeLow,IncomeHigh,HouseLow,HouseHigh
11004,Queens,Southeast Queens,2006,"$355,686,000 ","6,282","$56,620 ",56620,,,,,,,N,,,,,3,0,5.458,0.9,40.746204,-73.711478,"11005, 11426",1.08,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11414,Queens,Southwest Queens,2008,"$779,369,000 ","12,958","$60,146 ",60146,,,,,,,Y,1,Howard Beach - JFK Airport,1,A,5,0,12.659,2.3,40.657604,-73.844804,11417,1.08,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11208,Brooklyn,East New York and New Lots,2008,"$1,024,823,000 ","38,303","$26,756 ",26756,,,,,,,Y,8,"Cypress Hills, Crescent St, Norwood Av, Cleveland St, Shepherd Av, Euclid Av, Grant Av, Flushing Av",6,"J, Z, C, A, C, G",27,0,22.967,3.5,40.669769,-73.871372,"11207, 11239, 11414, 11417, 11416, 11421, 11385",1.08,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11428,Queens,Southeast Queens,2007,"$379,039,000 ","9,808","$38,646 ",38646,,,,,,,N,,,,,1,0,0.03,0.8,40.721016,-73.742245,"11426, 11427, 11423, 11429",1.08,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11208,Brooklyn,East New York and New Lots,2007,"$986,339,000 ","40,536","$24,332 ",24332,,,,,,,Y,8,"Cypress Hills, Crescent St, Norwood Av, Cleveland St, Shepherd Av, Euclid Av, Grant Av, Flushing Av",6,"J, Z, C, A, C, G",27,0,22.967,3.5,40.669769,-73.871372,"11207, 11239, 11414, 11417, 11416, 11421, 11385",1.08,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11691,Queens,Rockaways,2009,"$747,140,000 ","20,682","$36,125 ",36125,,,,,,,Y,4,"Beach 44 St, Beach 36 St, Beach 25 St, Far Rockaway - Mott Av",1,A,16,0,81.202,2.8,40.601278,-73.761651,11692,1.08,red,22,43818.55709,64797.35987,0.83252179,0.960932841
11212,Brooklyn,Central Brooklyn,2008,"$941,225,000 ","34,244","$27,486 ",27486,,,,,,,N,4,"Sutter Av, Sutter Av - Rutland Rd, Saratoga Av, Rockaway Av",2,"L, 3",37,0,34.355,1.5,40.662936,-73.913029,"11213, 11233, 11207, 11236, 11203",1.07,red,22,44541.41962,64579.99543,0.890607641,1.042492584
11693,Queens,Rockaways,2009,"$265,884,000 ","5,430","$48,966 ",48966,,,,,,,Y,3,"Broad Channel, Beach 90 St, Beach 98 St",2,"A, S",9,0,37.224,1,40.590692,-73.809749,"11694, 11692",1.07,red,22,43818.55709,64797.35987,0.83252179,0.960932841
11428,Queens,Southeast Queens,2006,"$355,928,000 ","8,921","$39,898 ",39898,,,,,,,N,,,,,1,0,0.03,0.8,40.721016,-73.742245,"11426, 11427, 11423, 11429",1.07,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11212,Brooklyn,Central Brooklyn,2007,"$905,040,000 ","36,982","$24,472 ",24472,,,,,,,N,4,"Sutter Av, Sutter Av - Rutland Rd, Saratoga Av, Rockaway Av",2,"L, 3",37,0,34.355,1.5,40.662936,-73.913029,"11213, 11233, 11207, 11236, 11203",1.07,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11692,Queens,Rockaways,2010,"$263,895,000 ","7,768","$33,972 ",33972,,,,,,,Y,2,"Beach 67 St, Beach 60 St",1,A,9,0,108.417,1,40.594095,-73.792896,"11693, 11691",1.07,red,22,44081.30464,64251.15544,0.791133741,0.921456724
11694,Queens,Rockaways,2007,"$760,780,000 ","9,499","$80,091 ",80091,,,,,,,Y,2,"Beach 105 St, Rockaway Park - Beach 116 St",3,"A, S, 6",12,0,229.724,1.4,40.57827,-73.844762,"11697, 11693",1.07,red,22,43326.83186,63664.85351,0.892759679,1.135458269
11419,Queens,Southwest Queens,2006,"$545,382,000 ","18,625","$29,282 ",29282,,,,,,,N,2,"111 St, Ozone Park - Lefferts Blvd",1,A,2,0,4.56,1.1,40.688673,-73.822918,"11420, 11417, 11416, 11418, 11435",1.07,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11411,Queens,Southeast Queens,2006,"$424,554,000 ","9,653","$43,982 ",43982,,,,,,,N,,,,,3,0,8.72,1.2,40.694021,-73.736216,"11429, 11412, 11413, 11422",1.07,red,22,44350.42332,66478.2646,0.893471665,1.130588767
11417,Queens,Southwest Queens,2007,"$502,004,000 ","13,593","$36,931 ",36931,,,,,,,N,5,"80 St, 88 St, Rockaway Blvd, 104 St, Aqueduct - N Conduit Av",1,A,12,0,22.306,1.1,40.676446,-73.844443,"11414, 11420, 11419, 11416",1.07,red,22,43326.83186,63664.85351,0.892759679,1.135458269
