LAT_TRIM,LON_TRIM,Zip Code,crime_count
40.5484,-74.2316,10309,1
40.5485,-74.1524,10308,2
40.5486,-74.2169,10309,1
40.5487,-74.1405,10308,1
40.5488,-74.1953,10312,1
40.5488,-74.1785,10312,1
40.549,-74.2097,10309,1
40.549,-74.1748,10312,1
40.549,-74.1627,10312,1
40.5491,-74.2233,10309,1
40.5491,-74.2208,10309,2
40.5491,-74.1855,10312,1
40.5491,-74.1805,10312,1
40.5493,-74.2169,10309,1
40.5494,-74.2157,10309,1
40.5494,-74.1602,10308,1
40.5494,-74.1522,10308,2
40.5495,-74.2145,10309,1
40.5495,-74.2121,10309,1
40.5495,-74.1493,10308,1
40.5496,-74.2223,10309,3
40.5497,-74.1664,10312,1
40.5497,-74.157,10308,1
40.5498,-74.2162,10309,1
40.5498,-74.21,10309,1
40.5498,-74.2006,10312,1
40.5498,-74.2,10312,1
40.5498,-74.1878,10312,1
40.5498,-74.1398,10308,2
40.5499,-74.1871,10312,1
40.5499,-74.1378,10308,1
40.55,-74.1932,10312,1
40.5501,-74.218,10309,1
40.5502,-74.1623,10312,1
40.5503,-74.2213,10309,1
40.5503,-74.1895,10312,1
40.5503,-74.1614,10308,1
40.5504,-74.2182,10309,2
40.5504,-74.1746,10312,1
40.5504,-74.1506,10308,2
40.5504,-74.1384,10308,1
40.5505,-74.2107,10309,1
40.5506,-74.1732,10312,1
40.5506,-74.1676,10312,1
40.5506,-74.1428,10308,1
40.5508,-74.2116,10309,2
40.5508,-74.20100000000002,10312,3
40.5508,-74.1802,10312,1
40.5508,-74.1502,10308,1
40.5509,-74.1996,10312,2
40.5509,-74.192,10312,1
40.5511,-74.2135,10309,1
40.5511,-74.1869,10312,1
40.5511,-74.1509,10308,1
40.5511,-74.1449,10308,1
40.5512,-74.2174,10309,1
40.5513,-74.2109,10309,1
40.5513,-74.1848,10312,1
40.5513,-74.1504,10308,4
40.5513,-74.1391,10308,1
40.5514,-74.2201,10309,1
40.5514,-74.183,10312,1
