,year,job_type,zipcode,LATITUDE,LONGITUDE,num_permits
530235,2016,A1,10003.0,40.730842,-73.99140200000002,3
530236,2016,A1,10003.0,40.731028,-73.98975300000002,1
530237,2016,A1,10003.0,40.731503,-73.98707900000002,1
530238,2016,A1,10003.0,40.731792,-73.989749,1
530239,2016,A1,10003.0,40.731802,-73.98977099999998,1
530240,2016,A1,10003.0,40.731811,-73.98979200000002,1
530241,2016,A1,10003.0,40.731822,-73.989818,1
530242,2016,A1,10003.0,40.73183,-73.989839,1
530243,2016,A1,10003.0,40.731848,-73.983767,2
530244,2016,A1,10003.0,40.732131,-73.98439499999998,1
530245,2016,A1,10003.0,40.732307,-73.987,2
530246,2016,A1,10003.0,40.732407,-73.99622600000002,2
530247,2016,A1,10003.0,40.732491,-73.989424,2
530248,2016,A1,10003.0,40.732518,-73.984835,3
530249,2016,A1,10003.0,40.732566,-73.991265,1
530250,2016,A1,10003.0,40.732804,-73.991214,5
530251,2016,A1,10003.0,40.732925,-73.987461,1
530252,2016,A1,10003.0,40.732969,-73.99254499999998,1
530253,2016,A1,10003.0,40.733024,-73.986563,1
530254,2016,A1,10003.0,40.733197,-73.98910699999998,1
530255,2016,A1,10003.0,40.733216,-73.98992199999998,1
530256,2016,A1,10003.0,40.733221,-73.989172,2
530257,2016,A1,10003.0,40.733282,-73.995147,1
530258,2016,A1,10003.0,40.733288,-73.995114,1
530259,2016,A1,10003.0,40.73331500000001,-73.98934799999998,2
530260,2016,A1,10003.0,40.733688,-73.99221700000002,1
530261,2016,A1,10003.0,40.733738,-73.99436700000003,1
530262,2016,A1,10003.0,40.734268,-73.993595,3
530263,2016,A1,10003.0,40.734306,-73.99368199999998,3
530264,2016,A1,10003.0,40.734379,-73.98451999999997,1
530265,2016,A1,10003.0,40.734443,-73.985816,3
530266,2016,A1,10003.0,40.734494,-73.982326,2
530267,2016,A1,10003.0,40.734522,-73.982395,2
530268,2016,A1,10003.0,40.734593,-73.982518,4
530269,2016,A1,10003.0,40.735036,-73.993487,1
530270,2016,A1,10003.0,40.735774,-73.98893299999997,5
530271,2016,A1,10003.0,40.735791,-73.991297,1
530272,2016,A1,10003.0,40.735898,-73.98951,3
530273,2016,A1,10003.0,40.735924,-73.983838,2
530274,2016,A1,10003.0,40.736018,-73.984065,3
530275,2016,A1,10003.0,40.736029,-73.987728,2
530276,2016,A1,10003.0,40.73634000000001,-73.989171,2
530277,2016,A1,10003.0,40.736517,-73.98347,2
530278,2016,A1,10003.0,40.736608,-73.987284,1
530279,2016,A1,10003.0,40.73676500000001,-73.9906,1
530280,2016,A1,10003.0,40.736778,-73.984094,1
530281,2016,A1,10003.0,40.736855,-73.986046,2
530282,2016,A1,10003.0,40.73696,-73.986587,3
530283,2016,A1,10003.0,40.737366,-73.988424,1
530284,2016,A1,10003.0,40.737619,-73.990167,1
530285,2016,A1,10003.0,40.73764,-73.988233,4
530286,2016,A1,10003.0,40.73859,-73.98991099999998,1
530287,2016,A1,10003.0,40.738848,-73.99078399999998,1
530288,2016,A1,10004.0,40.701695,-74.01163100000002,3
530289,2016,A1,10004.0,40.702112,-74.01124899999998,1
530290,2016,A1,10004.0,40.702373,-74.011325,1
530291,2016,A1,10004.0,40.702411,-74.012948,2
530292,2016,A1,10004.0,40.703512,-74.011606,1
530293,2016,A1,10004.0,40.703954,-74.01159200000002,1
530294,2016,A1,10004.0,40.70421500000001,-74.01155899999998,3
530295,2016,A1,10004.0,40.704884,-74.015927,2
530296,2016,A1,10004.0,40.705137,-74.015585,1
530297,2016,A1,10004.0,40.70568,-74.013302,1
530298,2016,A1,10004.0,40.705752,-74.013374,2
