Year,ZIP Code,Zillow_value
2001,10309,0.582503802415184
2002,10309,0.6427687996405175
2003,10309,0.7204906059177923
2004,10309,0.8077487980695667
2005,10309,0.9260971536206336
2006,10309,0.9989860863737353
2007,10309,0.9860265386137685
2008,10309,0.9479246043039972
2009,10309,0.9298995369265265
2010,10309,0.8985130961030574
2011,10309,0.8877699653420299
2012,10309,0.8664393188631899
2013,10309,0.8868667431512044
2014,10309,0.9141431485861297
2015,10309,0.9341931817572927
2016,10309,0.9950322878124179
2017,10309,1.1030143812815951
1996,10310,0.370883886395038
1997,10310,0.3664578211000587
1998,10310,0.37755021099503955
1999,10310,0.4092354532683777
2000,10310,0.4740448366192534
2001,10310,0.5432304775851572
2002,10310,0.6089250971076413
2003,10310,0.6914440228703923
2004,10310,0.7708400417691134
2005,10310,0.9252648358704049
2006,10310,1.0123410256730276
2007,10310,1.017276111589542
2008,10310,0.9652477371596726
2009,10310,0.9311300195394026
2010,10310,0.8540884785915162
2011,10310,0.8218989810888898
2012,10310,0.7889171477122389
2013,10310,0.8308810068233097
2014,10310,0.8598083434268052
2015,10310,0.8933620117130663
2016,10310,0.9837438792688352
2017,10310,1.0817444982756736
1996,10312,0.3819409442204302
1997,10312,0.38189106602822576
1998,10312,0.4028148218152628
1999,10312,0.4342156231332139
2000,10312,0.5101016465053764
2001,10312,0.576654030857975
2002,10312,0.6404739069967146
2003,10312,0.7233542530055258
2004,10312,0.8135348995669056
2005,10312,0.9266962668944146
2006,10312,1.00288651807049
2007,10312,0.9892341859879034
2008,10312,0.9436851875186679
2009,10312,0.9205323724051669
2010,10312,0.892838516342664
2011,10312,0.8710370248887029
2012,10312,0.8572335103329728
2013,10312,0.8808722599658214
2014,10312,0.907622599322683
2015,10312,0.9339667676983421
2016,10312,0.9879737997680741
2017,10312,1.0890683069043263
1996,10314,0.3589842482501275
1997,10314,0.36528292472795854
1998,10314,0.3805136873565916
1999,10314,0.40051834813047565
2000,10314,0.4683368180494715
2001,10314,0.5373377963774162
2002,10314,0.6062381443601377
2003,10314,0.6830980674628008
2004,10314,0.7750192026056876
2005,10314,0.8937947200710958
2006,10314,0.974417281041406
2007,10314,0.9726698982452021
2008,10314,0.9194665939846681
2009,10314,0.8977884953848562
2010,10314,0.8811205348575948
2011,10314,0.8505609749260059
2012,10314,0.8367779986543914
2013,10314,0.8528561045711672
2014,10314,0.8892718187177171
2015,10314,0.9297369453772776
2016,10314,0.9933318687503997
2017,10314,1.1005222420439078
1996,10456,
1997,10456,
1998,10456,
1999,10456,
2000,10456,
2001,10456,
2002,10456,
2003,10456,
2004,10456,
2005,10456,
2006,10456,
2007,10456,
2008,10456,
2009,10456,
2010,10456,0.9502433997796965
2011,10456,0.916446450951775
2012,10456,0.8703245834874185
2013,10456,0.8609614126794242
2014,10456,0.8714858156075036
2015,10456,0.9033397774943929
2016,10456,0.9918536635867174
2017,10456,1.0805459814360785
1996,10457,
1997,10457,
1998,10457,
1999,10457,
2000,10457,
2001,10457,
2002,10457,
2003,10457,
2004,10457,0.7491544855259387
2005,10457,0.7459396197573326
2006,10457,0.9658450367822681
2007,10457,1.0066399159262445
2008,10457,0.9671825738033822
2009,10457,0.9055603324734882
2010,10457,0.9009078710184784
2011,10457,0.8895109738832869
2012,10457,0.8203247692274894
2013,10457,0.8009726752398526
2014,10457,0.8214403868277079
2015,10457,0.8905946137684196
2016,10457,0.9871328681957542
2017,10457,1.0537295194578473
1996,10459,
1997,10459,
1998,10459,
1999,10459,
2000,10459,0.5135678391959798
2001,10459,0.49539363484087096
2002,10459,0.46733668341708545
2003,10459,0.5087939698492462
2004,10459,0.6861146760983173
2005,10459,0.7549622362411578
2006,10459,0.911038756934151
2007,10459,1.0310559341471546
2008,10459,1.041207800091585
2009,10459,0.978248117586333
2010,10459,0.9917188736448028
2011,10459,0.9866957564601585
2012,10459,0.8909605983554864
2013,10459,0.8885747557732708
2014,10459,0.9007358183804715
2015,10459,0.9029465497953395
2016,10459,0.9868983581978639
2017,10459,1.0615640967125797
1996,10461,
1997,10461,
1998,10461,
1999,10461,
2000,10461,
2001,10461,
2002,10461,
2003,10461,
2004,10461,
2005,10461,
2006,10461,
2007,10461,
2008,10461,
2009,10461,
2010,10461,0.9611017664865589
2011,10461,0.9057406075553741
2012,10461,0.8659712606118656
2013,10461,0.843418630537346
2014,10461,0.9027454794450124
2015,10461,0.9255493649111393
2016,10461,0.95598891654046
2017,10461,0.9602213815725873
1996,10462,
1997,10462,
1998,10462,
1999,10462,
2000,10462,
2001,10462,
2002,10462,
2003,10462,
2004,10462,
2005,10462,
2006,10462,
2007,10462,
2008,10462,
2009,10462,1.0829836829836827
2010,10462,0.9631673462612153
2011,10462,0.8777144835322509
2012,10462,0.8162497963859286
2013,10462,0.8185684643303182
2014,10462,0.8511045102795697
2015,10462,0.8670763337060808
2016,10462,0.9766625951156856
2017,10462,1.0874647278015446
1996,10463,
1997,10463,
1998,10463,
1999,10463,
2000,10463,
2001,10463,
2002,10463,
2003,10463,
2004,10463,0.9562956204379564
2005,10463,0.915164993917275
2006,10463,1.0871920620437958
