Zip Code,Filing Year,Job Type,Count
10004,2013,A2,359
10004,2013,DM,5
10004,2013,NB,0
10004,2014,A1,7
10004,2014,A2,326
10004,2014,DM,2
10004,2014,NB,1
10004,2015,A1,11
10004,2015,A2,286
10004,2015,DM,2
10004,2015,NB,0
10004,2016,A1,7
10004,2016,A2,247
10004,2016,DM,0
10004,2016,NB,1
10004,2017,A1,5
10004,2017,A2,234
10004,2017,DM,1
10004,2017,NB,1
10004,1989,A1,0
10004,1989,A2,0
10004,1989,DM,0
10004,1989,NB,0
10005,1990,A1,3
10005,1990,A2,125
10005,1990,DM,3
10005,1990,NB,0
10005,1991,A1,2
10005,1991,A2,218
10005,1991,DM,0
10005,1991,NB,0
10005,1992,A1,0
10005,1992,A2,244
10005,1992,DM,0
10005,1992,NB,0
10005,1993,A1,4
10005,1993,A2,293
10005,1993,DM,0
10005,1993,NB,0
10005,1994,A1,4
10005,1994,A2,278
10005,1994,DM,0
10005,1994,NB,0
10005,1995,A1,1
10005,1995,A2,251
10005,1995,DM,0
10005,1995,NB,0
10005,1996,A1,5
10005,1996,A2,239
10005,1996,DM,0
10005,1996,NB,0
10005,1997,A1,10
10005,1997,A2,321
10005,1997,DM,0
10005,1997,NB,0
10005,1998,A1,7
10005,1998,A2,319
10005,1998,DM,0
10005,1998,NB,0
10005,1999,A1,7
10005,1999,A2,372
10005,1999,DM,0
10005,1999,NB,1
10005,2000,A1,5
10005,2000,A2,359
10005,2000,DM,0
10005,2000,NB,1
10005,2001,A1,4
10005,2001,A2,260
10005,2001,DM,0
10005,2001,NB,1
10005,2002,A1,5
10005,2002,A2,246
10005,2002,DM,0
10005,2002,NB,1
10005,2003,A1,7
10005,2003,A2,230
10005,2003,DM,0
10005,2003,NB,0
10005,2004,A1,5
10005,2004,A2,221
10005,2004,DM,0
10005,2004,NB,0
10005,2005,A1,12
10005,2005,A2,202
10005,2005,DM,0
10005,2005,NB,1
10005,2006,A1,6
10005,2006,A2,229
10005,2006,DM,1
10005,2006,NB,0
10005,2007,A1,4
10005,2007,A2,258
10005,2007,DM,0
10005,2007,NB,1
10005,2008,A1,3
10005,2008,A2,223
10005,2008,DM,0
10005,2008,NB,0
10005,2009,A1,1
10005,2009,A2,154
10005,2009,DM,0
10005,2009,NB,0
10005,2010,A1,3
10005,2010,A2,160
10005,2010,DM,0
10005,2010,NB,0
10005,2011,A1,3
10005,2011,A2,223
10005,2011,DM,0
10005,2011,NB,0
10005,2012,A1,1
10005,2012,A2,226
10005,2012,DM,0
10005,2012,NB,0
10005,2013,A1,5
10005,2013,A2,276
10005,2013,DM,0
10005,2013,NB,0
10005,2014,A1,3
10005,2014,A2,205
10005,2014,DM,0
10005,2014,NB,0
10005,2015,A1,6
10005,2015,A2,211
10005,2015,DM,0
10005,2015,NB,0
10005,2016,A1,2
10005,2016,A2,268
10005,2016,DM,2
10005,2016,NB,0
10005,2017,A1,7
10005,2017,A2,243
10005,2017,DM,0
10005,2017,NB,1
10005,1989,A1,0
10005,1989,A2,0
10005,1989,DM,0
10005,1989,NB,0
10006,1990,A1,0
10006,1990,A2,51
10006,1990,DM,0
10006,1990,NB,0
10006,1991,A1,2
10006,1991,A2,89
10006,1991,DM,0
10006,1991,NB,0
10006,1992,A1,3
10006,1992,A2,101
10006,1992,DM,0
10006,1992,NB,0
10006,1993,A1,2
10006,1993,A2,94
10006,1993,DM,1
10006,1993,NB,0
10006,1994,A1,1
10006,1994,A2,116
10006,1994,DM,0
10006,1994,NB,0
10006,1995,A1,4
10006,1995,A2,115
10006,1995,DM,0
10006,1995,NB,0
10006,1996,A1,5
10006,1996,A2,130
10006,1996,DM,0
10006,1996,NB,0
10006,1997,A1,7
10006,1997,A2,133
10006,1997,DM,0
10006,1997,NB,0
10006,1998,A1,5
10006,1998,A2,172
10006,1998,DM,0
10006,1998,NB,0
10006,1999,A1,4
10006,1999,A2,156
10006,1999,DM,0
10006,1999,NB,0
10006,2000,A1,1
10006,2000,A2,128
10006,2000,DM,0
10006,2000,NB,0
10006,2001,A1,2
10006,2001,A2,93
10006,2001,DM,0
10006,2001,NB,0
10006,2002,A1,5
10006,2002,A2,84
10006,2002,DM,1
10006,2002,NB,0
10006,2003,A1,4
10006,2003,A2,86
10006,2003,DM,0
10006,2003,NB,0
10006,2004,A1,3
10006,2004,A2,73
10006,2004,DM,0
10006,2004,NB,0
10006,2005,A1,2
10006,2005,A2,72
10006,2005,DM,3
10006,2005,NB,0
10006,2006,A1,4
10006,2006,A2,99
10006,2006,DM,0
10006,2006,NB,1
