Zip_Code,MONTH,YEAR,COUNT
10033,2,2006,103
10033,1,2006,128
10033,4,2006,128
10034,8,2006,68
10034,5,2006,77
10034,4,2006,69
10034,3,2006,74
10034,1,2006,78
10034,11,2006,65
10034,10,2006,78
10034,2,2006,71
10034,6,2006,87
10034,12,2006,86
10034,9,2006,81
10034,7,2006,91
10035,4,2006,143
10035,12,2006,132
10035,11,2006,145
10035,1,2006,107
10035,8,2006,173
10035,10,2006,142
10035,5,2006,138
10035,3,2006,138
10035,9,2006,176
10035,6,2006,116
10035,7,2006,144
10035,2,2006,93
10803,1,2006,1
10036,5,2006,177
10036,2,2006,159
10036,10,2006,224
10036,7,2006,192
10036,3,2006,177
10036,11,2006,217
10036,1,2006,202
10036,9,2006,214
10036,12,2006,221
10036,6,2006,208
10036,8,2006,211
10036,4,2006,219
10037,4,2006,41
10037,1,2006,56
10037,10,2006,72
10037,8,2006,50
10037,3,2006,42
10037,5,2006,52
10037,12,2006,53
10037,2,2006,41
10037,9,2006,62
10037,7,2006,62
10037,11,2006,55
10037,6,2006,49
10038,8,2006,40
10038,12,2006,51
10038,5,2006,54
10038,11,2006,37
10038,9,2006,39
10038,3,2006,40
10038,10,2006,44
10038,4,2006,38
10038,1,2006,36
10038,2,2006,29
10038,6,2006,46
10038,7,2006,41
10550,11,2006,1
10550,7,2006,1
10550,10,2006,2
10550,2,2006,1
10039,1,2006,84
10039,5,2006,118
10039,7,2006,95
10039,4,2006,93
10039,6,2006,96
10039,11,2006,80
10039,9,2006,92
10039,10,2006,101
10039,2,2006,85
10039,12,2006,90
10039,3,2006,94
10039,8,2006,87
10040,9,2006,76
10040,3,2006,61
10040,7,2006,65
10040,5,2006,68
10040,2,2006,46
10040,4,2006,67
10040,11,2006,60
10040,10,2006,50
10040,6,2006,50
10040,1,2006,75
10040,12,2006,57
10040,8,2006,46
10041,8,2006,1
10041,4,2006,1
10041,5,2006,1
10041,7,2006,1
10041,1,2006,2
10041,9,2006,2
10044,3,2006,6
10044,12,2006,8
10044,5,2006,4
10044,1,2006,3
10044,10,2006,11
10044,2,2006,5
10044,9,2006,5
10044,7,2006,7
10044,6,2006,4
10044,11,2006,6
10044,4,2006,5
10044,8,2006,6
11580,12,2006,1
11580,9,2006,3
11580,8,2006,1
10301,7,2006,95
10301,10,2006,108
10301,9,2006,85
10301,2,2006,57
10301,5,2006,106
10301,8,2006,118
10301,11,2006,97
10301,1,2006,88
10301,3,2006,87
10301,4,2006,97
10301,12,2006,84
10301,6,2006,87
10302,2,2006,39
10302,11,2006,28
10302,6,2006,46
10302,10,2006,58
10302,1,2006,45
10302,7,2006,54
10302,4,2006,58
10302,3,2006,37
10302,5,2006,61
10302,9,2006,45
10302,8,2006,46
10302,12,2006,43
10303,5,2006,74
10303,8,2006,71
10303,7,2006,68
10303,4,2006,52
10303,9,2006,46
10303,1,2006,67
10303,10,2006,55
10303,12,2006,65
10303,2,2006,36
10303,3,2006,52
10303,6,2006,53
10303,11,2006,56
10304,2,2006,79
10304,7,2006,107
10304,10,2006,104
10304,12,2006,85
10304,3,2006,88
10304,9,2006,96
10304,8,2006,111
10304,4,2006,99
10304,5,2006,91
10304,11,2006,79
10304,6,2006,106
10304,1,2006,114
10305,9,2006,57
10305,2,2006,49
10305,12,2006,46
10305,6,2006,60
10305,8,2006,51
10305,3,2006,46
10305,5,2006,48
10305,11,2006,40
10305,10,2006,49
10305,1,2006,46
10305,7,2006,64
10305,4,2006,34
10306,3,2006,68
10306,8,2006,51
10306,10,2006,68
10306,4,2006,56
10306,1,2006,46
10306,9,2006,69
10306,6,2006,53
10306,12,2006,50
10306,5,2006,61
10306,7,2006,58
10306,11,2006,50
10306,2,2006,51
10307,11,2006,10
10307,8,2006,7
10307,6,2006,9
10307,7,2006,11
10307,2,2006,6
10307,9,2006,9
10307,1,2006,8
10307,12,2006,12
10307,3,2006,14
10307,10,2006,10
10307,4,2006,10
10307,5,2006,16
10308,12,2006,21
10308,6,2006,18
10308,9,2006,14
10308,7,2006,18
10308,10,2006,16
10308,5,2006,15
10308,3,2006,20
10308,11,2006,14
10308,4,2006,24
10308,2,2006,18
10308,8,2006,15
10308,1,2006,10
10309,1,2006,26
10309,12,2006,25
10309,8,2006,24
10309,2,2006,28
10309,6,2006,34
10309,3,2006,15
10309,10,2006,32
10309,4,2006,14
10309,9,2006,18
10309,7,2006,32
10309,5,2006,30
10309,11,2006,19
10310,12,2006,35
10310,9,2006,38
10310,11,2006,64
10310,8,2006,47
10310,1,2006,37
10310,5,2006,49
10310,10,2006,45
10310,3,2006,42
10310,7,2006,51
10310,4,2006,51
10310,6,2006,50
10310,2,2006,34
10312,4,2006,39
10312,11,2006,41
10312,8,2006,49
10312,12,2006,47
10312,5,2006,53
10312,9,2006,32
10312,3,2006,43
10312,10,2006,44
10312,2,2006,28
10312,7,2006,44
10312,1,2006,26
10312,6,2006,44
10314,10,2006,91
