Zip_Code,YEAR,CRIME_COUNT
10154,2006,6
10158,2015,13
10158,2007,2
10158,2008,3
10158,2011,3
10158,2009,4
10158,2016,4
10158,2013,5
10158,2014,6
10158,2006,7
10158,2010,7
10158,2012,7
10162,2006,23
10162,2007,21
10162,2008,27
10162,2009,21
10162,2010,15
10162,2011,22
10162,2012,16
10162,2013,18
10162,2014,28
10162,2015,19
10162,2016,24
10167,2008,1
10167,2011,1
10167,2010,2
10167,2013,2
10167,2006,4
10167,2007,4
10167,2009,4
10167,2014,4
10167,2015,4
10168,2008,1
10168,2009,1
10168,2011,1
10168,2016,1
10168,2007,2
10168,2010,2
10168,2013,2
10168,2006,3
10170,2007,1
10172,2007,1
10172,2008,1
10172,2011,1
10172,2012,1
10172,2009,2
10172,2013,2
10172,2014,2
10172,2006,3
10172,2010,3
10172,2015,3
10173,2006,1
10173,2009,1
10173,2012,1
10173,2013,1
10173,2015,1
10174,2006,12
10174,2007,32
10174,2008,15
10174,2010,10
10174,2011,12
10174,2013,12
10174,2014,6
10174,2015,6
10174,2016,6
10174,2009,7
10174,2012,14
10177,2007,1
10177,2011,1
10177,2014,1
10177,2009,2
10177,2012,2
10177,2013,2
10177,2008,4
10177,2010,4
10177,2016,4
10177,2015,7
10199,2006,95
10199,2007,88
10199,2008,68
10199,2009,75
10199,2010,75
10199,2011,67
10199,2012,72
10199,2013,68
10199,2014,80
10199,2015,53
10199,2016,66
10278,2009,10
10278,2012,1
10278,2013,1
10278,2006,3
10278,2007,3
10278,2010,3
10278,2011,4
10278,2016,4
10278,2014,5
10278,2015,6
10278,2008,9
10279,2006,1
10279,2007,1
10279,2013,1
10279,2014,1
10279,2010,2
10279,2008,3
10279,2012,3
10279,2015,3
10279,2016,3
10279,2011,4
10279,2009,7
10280,2006,51
10280,2007,48
10280,2008,43
10280,2009,30
10280,2010,44
10280,2011,30
10280,2012,27
10280,2013,42
10280,2014,28
10280,2015,29
10280,2016,36
10281,2015,13
10281,2006,1
10281,2008,1
10281,2011,1
10281,2007,2
10281,2010,2
10281,2012,2
10281,2009,3
10281,2013,4
10281,2014,4
10281,2016,14
10282,2006,81
10282,2007,74
10282,2008,58
10282,2009,41
10282,2010,33
10282,2011,36
10282,2012,29
10282,2013,30
10282,2014,30
10282,2015,46
10282,2016,61
10301,2006,1109
10301,2007,1027
10301,2008,1088
10301,2009,1002
10301,2010,1041
10301,2011,1026
10301,2012,1174
10301,2013,1007
10301,2014,881
10301,2015,906
10301,2016,1011
10302,2006,560
10302,2007,529
10302,2008,553
10302,2009,617
10302,2010,573
10302,2011,525
10302,2012,551
10302,2013,545
10302,2014,680
10302,2015,563
10302,2016,512
10303,2006,695
10303,2007,632
10303,2008,662
10303,2009,644
10303,2010,549
10303,2011,614
10303,2012,601
10303,2013,551
10303,2014,708
10303,2015,664
10303,2016,561
10304,2006,1159
10304,2007,1077
10304,2008,1042
10304,2009,956
10304,2010,1265
10304,2011,1253
10304,2012,1239
10304,2013,1111
10304,2014,979
10304,2015,901
10304,2016,908
10305,2006,590
10305,2007,581
10305,2008,609
10305,2009,519
10305,2010,519
10305,2011,497
10305,2012,612
10305,2013,494
10305,2014,453
10305,2015,448
10305,2016,493
10306,2006,681
10306,2007,635
10306,2008,731
10306,2009,550
10306,2010,528
10306,2011,585
10306,2012,683
10306,2013,589
10306,2014,520
10306,2015,514
10306,2016,536
10307,2006,122
10307,2007,147
10307,2008,150
10307,2009,109
10307,2010,120
10307,2011,132
10307,2012,139
10307,2013,120
10307,2014,105
10307,2015,121
10307,2016,153
10308,2006,203
10308,2007,232
10308,2008,241
10308,2009,193
10308,2010,212
10308,2011,216
10308,2012,228
10308,2013,200
10308,2014,188
10308,2015,186
10308,2016,155
10309,2006,297
10309,2007,312
10309,2008,392
10309,2009,306
10309,2010,303
10309,2011,312
10309,2012,319
10309,2013,292
10309,2014,305
10309,2015,302
10309,2016,283
10310,2006,543
10310,2007,577
10310,2008,538
10310,2009,533
10310,2010,598
10310,2011,593
10310,2012,706
10310,2013,578
10310,2014,548
10310,2015,485
10310,2016,550
10312,2006,490
10312,2007,481
10312,2008,505
10312,2009,437
10312,2010,397
10312,2011,449
10312,2012,400
10312,2013,422
10312,2014,441
10312,2015,364
10312,2016,343
10314,2006,904
10314,2007,1036
10314,2008,1032
10314,2009,834
10314,2010,827
10314,2011,786
10314,2012,895
10314,2013,908
10314,2014,907
10314,2015,954
10314,2016,820
10451,2006,2177
10451,2007,2100
10451,2008,2127
10451,2009,2241
10451,2010,2308
10451,2011,2438
10451,2012,2456
10451,2013,2450
10451,2014,2443
10451,2015,2550
10451,2016,2664
10452,2006,2952
10452,2007,2891
10452,2008,2904
10452,2009,2955
10452,2010,3197
10452,2011,3101
10452,2012,2871
10452,2013,2481
10452,2014,2367
10452,2015,2569
10452,2016,2269
10453,2006,3869
10453,2007,3810
10453,2008,3733
10453,2009,3647
10453,2010,3264
10453,2011,3173
10453,2012,2866
10453,2013,2543
10453,2014,2501
10453,2015,2426
10453,2016,2265
10454,2006,2165
10454,2007,2133
10454,2008,2025
10454,2009,1954
10454,2010,1872
10454,2011,1863
10454,2012,2151
10454,2013,1924
10454,2014,2004
10454,2015,2119
10454,2016,2008
10455,2006,2130
10455,2007,2091
10455,2008,2200
10455,2009,2194
10455,2010,2012
10455,2011,2223
10455,2012,2357
10455,2013,2484
10455,2014,2282
10455,2015,2570
10455,2016,2606
10456,2006,4124
10456,2007,4253
10456,2008,3926
10456,2009,3984
10456,2010,4060
10456,2011,4260
10456,2012,3949
10456,2013,3986
10456,2014,3664
10456,2015,3675
10456,2016,3400
10457,2006,3555
10457,2007,3824
10457,2008,3759
10457,2009,3385
10457,2010,3373
10457,2011,3150
10457,2012,3521
10457,2013,3132
10457,2014,3360
10457,2015,3348
10457,2016,2778
10458,2006,2754
10458,2007,3001
10458,2008,3126
10458,2009,3110
10458,2010,3394
10458,2011,3270
10458,2012,3285
10458,2013,3002
10458,2014,3167
10458,2015,3087
10458,2016,2620
10459,2006,1890
10459,2007,2103
10459,2008,2295
10459,2009,2241
10459,2010,2235
10459,2011,2264
10459,2012,2437
10459,2013,2344
10459,2014,2465
10459,2015,2090
10459,2016,2204
10460,2006,2431
10460,2007,2923
10460,2008,2831
10460,2009,2658
10460,2010,2401
10460,2011,2494
10460,2012,2327
10460,2013,2384
10460,2014,2480
10460,2015,2322
10460,2016,2159
10461,2006,993
10461,2007,1035
10461,2008,1037
10461,2009,1035
10461,2010,1124
10461,2011,1085
10461,2012,1060
10461,2013,943
10461,2014,945
10461,2015,1028
10461,2016,1062
10462,2006,1949
10462,2007,2085
10462,2008,1938
10462,2009,1734
10462,2010,1928
10462,2011,2016
10462,2012,1726
10462,2013,1605
10462,2014,1566
10462,2015,1492
10462,2016,1483
10463,2006,1177
10463,2007,1248
10463,2008,1325
10463,2009,1388
10463,2010,1253
