Year,ZIP Code,Zillow_value,ZillowAdj,Zillow_value2,ZillowAdj2
2017,11419,0.165232136,0.159913416,0.165232136,0.159913416
2016,11420,0.156245074,0.154239955,0.156245074,0.154239955
2017,11420,0.170907266,0.165405867,0.170907266,0.165405867
2016,11421,0.156258998,0.1542537,0.156258998,0.1542537
2017,11421,0.173556369,0.167969697,0.173556369,0.167969697
2016,11422,0.145528393,0.143660803,0.145528393,0.143660803
2017,11422,0.153150564,0.148220742,0.153150564,0.148220742
2016,11423,0.163986031,0.161881571,0.163986031,0.161881571
2017,11423,0.168350758,0.162931652,0.168350758,0.162931652
2016,11426,0.181290146,0.178963619,0.181290146,0.178963619
2017,11426,0.19574045,0.189439686,0.19574045,0.189439686
2016,11427,0.173660252,0.171431641,0.173660252,0.171431641
2017,11427,0.18776356,0.181719568,0.18776356,0.181719568
2016,11428,0.161368792,0.159297919,0.161368792,0.159297919
2017,11428,0.167785885,0.162384961,0.167785885,0.162384961
2016,11429,0.153304841,0.151337454,0.153304841,0.151337454
2017,11429,0.162222029,0.157000202,0.162222029,0.157000202
2016,11432,0.203272701,0.200664068,0.203272701,0.200664068
2017,11432,0.220777556,0.213670863,0.220777556,0.213670863
2016,11433,0.143780987,0.141935821,0.143780987,0.141935821
2017,11433,0.157547376,0.152476024,0.157547376,0.152476024
2016,11434,0.140283631,0.138483348,0.140283631,0.138483348
2017,11434,0.15267086,0.147756479,0.15267086,0.147756479
2016,11435,0.140599597,0.138795259,0.140599597,0.138795259
2017,11435,0.157950769,0.152866432,0.157950769,0.152866432
2016,11436,0.150480382,0.148549242,0.150480382,0.148549242
2017,11436,0.164559303,0.15926224,0.164559303,0.15926224
2016,11691,0.119911195,0.118372355,0.119911195,0.118372355
2017,11691,0.134323069,0.129999292,0.134323069,0.129999292
2016,11692,0.116091234,0.114601415,0.116091234,0.114601415
2017,11692,0.13158552,0.127349863,0.13158552,0.127349863
2016,11693,0.128021421,0.126378501,0.128021421,0.126378501
2017,11693,0.143497901,0.138878792,0.143497901,0.138878792
2016,11694,0.195241736,0.192736165,0.195241736,0.192736165
2017,11694,0.215556291,0.208617667,0.215556291,0.208617667
2016,10037,,,0.414354058,0.409036582
2017,10037,,,0.441745393,0.427525882
2016,10040,,,0.342233226,0.33784129
2017,10040,,,0.371921842,0.359949908
2016,10044,,,0.690772252,0.681907455
2017,10044,,,0.66184979,0.640545255
2016,10451,,,0.029022388,0.028649939
2017,10451,,,0.03163219,0.030613969
2016,10452,,,0.05932173,0.058560444
2017,10452,,,0.063964925,0.061905934
2016,10453,,,0.061477735,0.060688781
2017,10453,,,0.068600983,0.066392759
2016,10454,,,0.161357959,0.159287225
2017,10454,,,0.175655782,0.170001531
2016,10455,,,0.044678155,0.044104792
2017,10455,,,0.04837531,0.046818139
2016,10458,,,0.063759204,0.062940971
2017,10458,,,0.069949231,0.067697608
2016,10460,,,0.059071537,0.058313462
2017,10460,,,0.063190839,0.061156765
2016,10472,,,0.066467575,0.065614586
2017,10472,,,0.072042218,0.069723223
2016,10474,,,0.070181093,0.069280447
2017,10474,,,0.07589885,0.073455713
2016,10475,,,0.105384345,0.10403193
2017,10475,,,0.108304599,0.104818341
2016,11005,,,0.229128175,0.226187734
2017,11005,,,0.247759142,0.239783929
2016,11106,,,0.344618915,0.340196362
2017,11106,,,0.394048361,0.381364188
2016,11239,,,0.137858523,0.136089362
2017,11239,,,0.14872785,0.143940392
2016,11697,,,0.195241736,0.192736165
2017,11697,,,0.215556291,0.208617667
