Zip_Code,Job_Type,YEAR,f0_
11212,A1,2013,8
10466,DM,2013,8
10463,A1,2013,9
10038,NB,2013,9
10471,NB,2013,9
11374,NB,2013,9
10004,A1,2013,9
10301,A1,2013,9
10468,DM,2013,9
10007,A1,2013,9
11212,NB,2013,9
11378,DM,2013,9
10019,DM,2013,9
11238,DM,2013,9
11354,A2,2013,265
10021,NB,2013,10
11223,NB,2013,10
11001,A2,2013,10
11432,DM,2013,10
11231,DM,2013,10
10032,A1,2013,10
11414,DM,2013,10
10458,A1,2013,10
11215,DM,2013,10
10026,NB,2013,10
10012,NB,2013,10
11433,A1,2013,10
11249,DM,2013,10
11103,DM,2013,10
11421,A1,2013,10
11418,NB,2013,10
11356,DM,2013,10
10022,NB,2013,10
11106,DM,2013,10
11366,NB,2013,10
10455,NB,2013,10
10022,A2,2013,1546
10456,NB,2013,11
11418,A1,2013,11
10459,NB,2013,11
10010,NB,2013,11
10028,NB,2013,11
10011,NB,2013,11
10454,NB,2013,11
10465,NB,2013,11
11367,NB,2013,11
11435,NB,2013,11
10454,A1,2013,11
10452,NB,2013,11
11232,NB,2013,11
10462,A1,2013,11
11417,A1,2013,11
11223,DM,2013,11
11420,DM,2013,11
10455,A1,2013,11
10019,NB,2013,11
10301,DM,2013,11
11226,NB,2013,11
10036,A2,2013,1035
10122,A2,2013,12
11361,DM,2013,12
10308,NB,2013,12
10032,NB,2013,12
11369,A1,2013,12
10309,A1,2013,12
11426,A1,2013,12
11372,A1,2013,12
11214,NB,2013,12
10301,NB,2013,12
10457,NB,2013,12
11222,DM,2013,12
11203,NB,2013,12
11004,A1,2013,12
10303,NB,2013,12
11233,DM,2013,12
10457,A1,2013,12
10456,A1,2013,12
10466,A1,2013,12
10003,A2,2013,1036
11412,A1,2013,13
10014,NB,2013,13
11210,DM,2013,13
11214,DM,2013,13
11230,NB,2013,13
10471,A1,2013,13
10461,NB,2013,13
11232,A1,2013,13
10279,A2,2013,13
10035,NB,2013,13
11217,NB,2013,13
10459,A1,2013,13
10465,A1,2013,13
10309,NB,2013,13
11221,DM,2013,13
10308,A1,2013,14
11224,A1,2013,14
11229,DM,2013,14
11419,A1,2013,14
10460,NB,2013,14
11414,A1,2013,14
11369,NB,2013,14
11433,NB,2013,14
10303,A1,2013,14
11208,A1,2013,14
11241,A2,2013,14
11411,A1,2013,15
11691,NB,2013,15
11356,A1,2013,15
11208,DM,2013,15
11374,A1,2013,15
11102,A1,2013,15
11691,A1,2013,15
10018,NB,2013,15
11228,NB,2013,15
10451,A1,2013,15
11366,A1,2013,15
11432,NB,2013,16
11220,DM,2013,16
10305,A1,2013,16
10030,A1,2013,16
10027,DM,2013,16
11413,NB,2013,16
11228,A1,2013,16
10466,NB,2013,16
11213,NB,2013,16
11218,DM,2013,16
11368,DM,2013,16
11367,A1,2013,16
11373,DM,2013,16
11206,DM,2013,16
11225,A1,2013,16
11412,NB,2013,16
11370,A1,2013,16
11423,A1,2013,16
10007,A2,2013,272
11434,A1,2013,17
10013,NB,2013,17
11429,A1,2013,17
10305,DM,2013,17
11694,A1,2013,17
10027,NB,2013,17
10038,A1,2013,17
10304,DM,2013,17
11375,A1,2013,17
10001,DM,2013,17
11377,DM,2013,17
10464,A2,2013,17
10304,A1,2013,17
11377,NB,2013,17
10128,A1,2013,17
11362,NB,2013,17
11224,DM,2013,17
10271,A2,2013,18
11106,A1,2013,18
10158,A2,2013,18
11365,NB,2013,18
11354,DM,2013,18
11422,A1,2013,18
10461,A1,2013,19
11225,NB,2013,19
10044,A2,2013,19
11435,A1,2013,19
10472,NB,2013,19
10025,A1,2013,19
11235,DM,2013,19
11102,DM,2013,19
11420,A1,2013,19
11411,A2,2013,19
10031,A1,2013,19
10309,DM,2013,20
10314,DM,2013,20
11220,NB,2013,20
11378,NB,2013,20
11229,NB,2013,20
10029,A1,2013,20
11218,A1,2013,20
11693,A1,2013,21
11214,A1,2013,21
11361,A1,2013,21
11237,NB,2013,21
11429,A2,2013,21
10467,A1,2013,21
10002,NB,2013,21
10018,A1,2013,21
11213,A1,2013,22
11362,A1,2013,22
10168,A2,2013,22
11414,NB,2013,22
10016,NB,2013,22
11693,DM,2013,22
11416,A1,2013,22
11358,NB,2013,22
11209,A1,2013,22
10312,A1,2013,23
11385,NB,2013,23
11203,A1,2013,23
11204,NB,2013,23
11364,NB,2013,23
10469,A1,2013,24
11224,NB,2013,24
10120,A2,2013,24
10009,A1,2013,24
11354,NB,2013,24
11226,A1,2013,24
11210,A1,2013,24
11236,A1,2013,24
10035,A1,2013,24
10174,A2,2013,24
10467,DM,2013,24
10069,A2,2013,24
10010,A1,2013,24
11102,NB,2013,24
11378,A1,2013,25
11355,DM,2013,25
11357,NB,2013,25
11364,A1,2013,25
11234,A1,2013,25
10036,A1,2013,25
11379,A1,2013,25
10028,A1,2013,25
11211,DM,2013,25
11694,NB,2013,26
10017,A1,2013,26
10026,A1,2013,26
11413,A1,2013,26
10022,A1,2013,26
11420,NB,2013,26
11216,NB,2013,26
11105,A1,2013,26
10467,NB,2013,26
11235,NB,2013,26
11373,A1,2013,27
10312,DM,2013,27
11249,NB,2013,27
11436,A2,2013,27
10121,A2,2013,27
10306,A1,2013,27
11358,A1,2013,27
11040,A2,2013,28
11230,DM,2013,28
11215,NB,2013,28
10105,A2,2013,28
11101,DM,2013,28
10107,A2,2013,28
10280,A2,2013,28
11205,A1,2013,29
11229,A1,2013,30
10314,A1,2013,30
11385,A1,2013,30
10018,A2,2013,798
11219,DM,2013,31
11223,A1,2013,31
10023,A1,2013,31
10154,A2,2013,31
11103,A1,2013,32
11236,NB,2013,32
10165,A2,2013,32
10155,A2,2013,32
10019,A1,2013,32
11377,A1,2013,32
11355,A1,2013,32
11230,A1,2013,32
