ZIP,BORO,NEIGHBORHOOD,NAME,WIKILINK
10035,Manhattan,East Harlem,East Harlem,East_Harlem
10036,Manhattan,Chelsea and Clinton,Hell's Kitchen,"Hell%27s_Kitchen,_Manhattan"
10037,Manhattan,Central Harlem,Central Harlem,Harlem
10038,Manhattan,Lower Manhattan,Two Bridges,"Two_Bridges,_Manhattan"
10039,Manhattan,Central Harlem,Central Harlem,Harlem
10040,Manhattan,Inwood and Washington Heights,Washington Heights,"Washington_Heights,_Manhattan"
10044,Manhattan,Upper East Side,Roosevelt Island,Roosevelt_Island
10065,Manhattan,Upper East Side,Upper East Side,Upper_East_Side
10075,Manhattan,Upper East Side,Upper East Side,Upper_East_Side
10128,Manhattan,Upper East Side,Yorkville,"Yorkville,_Manhattan"
10280,Manhattan,Lower Manhattan,Battery Park City,Battery_Park_City
11201,Brooklyn,Northwest Brooklyn,Downtown Brooklyn,Downtown_Brooklyn
11203,Brooklyn,Flatbush,East Flatbush,"East_Flatbush,_Brooklyn"
11204,Brooklyn,Borough Park,Bensonhurst,"Bensonhurst,_Brooklyn"
11205,Brooklyn,Northwest Brooklyn,Clinton Hill,"Clinton_Hill,_Brooklyn"
11206,Brooklyn,Bushwick and Williamsburg,Williamsburg,"Williamsburg,_Brooklyn"
11207,Brooklyn,East New York and New Lots,East New York,"East_New_York,_Brooklyn"
11208,Brooklyn,East New York and New Lots,Cypress Hills,"East_New_York,_Brooklyn#Cypress_Hills"
11209,Brooklyn,Southwest Brooklyn,Bay Ridge,"Bay_Ridge,_Brooklyn"
11210,Brooklyn,Flatbush,Flatlands,"Flatlands,_Brooklyn"
11211,Brooklyn,Greenpoint,Williamsburg,"Williamsburg,_Brooklyn"
11212,Brooklyn,Central Brooklyn,Brownsville,"Brownsville,_Brooklyn"
11213,Brooklyn,Central Brooklyn,Weeksville,"Weeksville,_Brooklyn"
11214,Brooklyn,Southwest Brooklyn,Bath Beach,"Bath_Beach,_Brooklyn"
11215,Brooklyn,Northwest Brooklyn,Park Slope,Park_Slope
11216,Brooklyn,Central Brooklyn,Bedford-Stuyvesant,"Bedford-Stuyvesant,_Brooklyn"
11217,Brooklyn,Northwest Brooklyn,Boerum Hill,Boerum_Hill
11218,Brooklyn,Borough Park,Kensington,"Kensington,_Brooklyn"
11219,Brooklyn,Borough Park,Borough Park,"Borough_Park,_Brooklyn"
11220,Brooklyn,Sunset Park,Sunset Park,"Sunset_Park,_Brooklyn"
11221,Brooklyn,Bushwick and Williamsburg,Bushwick,"Bushwick,_Brooklyn"
11222,Brooklyn,Greenpoint,Greenpoint,"Greenpoint,_Brooklyn"
11223,Brooklyn,Southern Brooklyn,Gravesend,"Gravesend,_Brooklyn"
11224,Brooklyn,Southern Brooklyn,Coney Island,Coney_Island
11225,Brooklyn,Flatbush,Prospect Lefferts Gardens,Prospect_Lefferts_Gardens
11226,Brooklyn,Flatbush,Flatbush,"Flatbush,_Brooklyn"
11228,Brooklyn,Southwest Brooklyn,Dyker Heights,"Dyker_Heights,_Brooklyn"
11229,Brooklyn,Southern Brooklyn,Sheepshead Bay,"Sheepshead_Bay,_Brooklyn#Madison"
11230,Brooklyn,Borough Park,Midwood,"Midwood,_Brooklyn"
11231,Brooklyn,Northwest Brooklyn,Red Hook,"Red_Hook,_Brooklyn"
11232,Brooklyn,Sunset Park,Greenwood,"Sunset_Park,_Brooklyn"
11233,Brooklyn,Central Brooklyn,Stuyvesant Heights,"Bedford_Stuyvesant,_Brooklyn"
11234,Brooklyn,Canarsie and Flatlands,Mill Basin,"Mill_Basin,_Brooklyn"
11235,Brooklyn,Southern Brooklyn,Brighton Beach,Brighton_Beach
11236,Brooklyn,Canarsie and Flatlands,Canarsie,"Canarsie,_Brooklyn"
11237,Brooklyn,Bushwick and Williamsburg,Bushwick,"Bushwick,_Brooklyn"
11238,Brooklyn,Central Brooklyn,Prospect Heights,"Prospect_Heights,_Brooklyn"
11239,Brooklyn,Canarsie and Flatlands,Starrett City,"Starrett_City,_Brooklyn"
